SZA;CTO;AOD
69.415;321.3565;0.0184
69.415;321.362;0.0184
69.415;321.3742;0.0184
69.415;321.3786;0.0184
69.415;321.3893;0.0184
69.415;321.393;0.0185
69.415;321.4068;0.0185
69.415;321.4096;0.0185
69.415;321.431;0.0185
69.415;321.4385;0.0186
69.415;321.4427;0.0186
69.415;321.4622;0.0187
69.415;321.4663;0.0187
69.415;321.4719;0.0187
69.415;321.4894;0.0187
69.415;321.4914;0.0188
69.415;321.4915;0.0188
69.415;321.5024;0.0188
69.415;321.502;0.0188
69.415;321.4995;0.0188
69.415;321.5076;0.0188
69.415;321.5041;0.0188
69.415;321.503;0.0188
69.415;321.5007;0.0187
69.415;321.4944;0.0187
69.415;321.491;0.0187
69.415;321.4859;0.0186
69.415;321.4846;0.0186
69.415;321.4683;0.0186
69.415;321.4641;0.0186
69.415;321.4606;0.0186
69.415;321.4499;0.0186
69.415;321.4512;0.0186
69.415;321.4508;0.0186
69.415;321.4243;0.0186
69.415;321.4235;0.0186
69.415;321.4192;0.0186
69.415;321.3889;0.0186
69.415;321.384;0.0186
69.415;321.3463;0.0186
69.415;321.345;0.0186
69.415;321.342;0.0186
69.415;321.3048;0.0186
69.415;321.3066;0.0186
69.415;321.3103;0.0186
69.415;321.2742;0.0186
69.415;321.2771;0.0186
69.415;321.2786;0.0185
69.415;321.2453;0.0185
69.415;321.248;0.0185
69.415;321.2573;0.0185
69.415;321.2352;0.0185
69.415;321.2496;0.0185
69.415;321.2247;0.0185
69.415;321.2301;0.0185
69.415;321.2363;0.0185
69.415;321.2173;0.0185
69.415;321.2231;0.0185
69.415;321.2238;0.0185
69.415;321.2085;0.0185
69.415;321.211;0.0185
69.415;321.2158;0.0184
69.415;321.2096;0.0184
69.415;321.2091;0.0184
69.415;321.2079;0.0184
69.415;321.2032;0.0184
69.415;321.2052;0.0184
69.415;321.2075;0.0184
69.415;321.2058;0.0184
69.415;321.205;0.0184
69.415;321.2078;0.0184
69.415;321.2107;0.0184
69.415;321.2135;0.0184
69.415;321.2143;0.0185
69.415;321.2111;0.0185
69.415;321.2092;0.0185
69.415;321.216;0.0185
69.415;321.2154;0.0185
69.415;321.217;0.0185
69.415;321.2212;0.0185
69.415;321.1731;0.0185
69.415;321.1688;0.0185
